Name,Current Price,Original Price,Discount,Brand,Rating,Review Count,Image URL,Product URL
NIVEA DoShakara Pack - Nourishing Cocoa Body Lotion - 400ml (Pack Of 3),10840,13320,19%,NIVEA,4.2,1869,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/9023401/1.jpg?5255","https://www.jumia.com.ng/doshakara-pack-nourishing-cocoa-body-lotion-400mlpack-of-3-nivea-mpg1657642.html"
Kiki New Gain Rechargeable Hair Clipper With Long Lasting Battery 2000mAh NG-888B,14973,16200,8%,N/A,4,2319,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/637217/1.jpg?9404","https://www.jumia.com.ng/kiki-new-gain-rechargeable-hair-clipper-with-long-lasting-battery-2000mah-ng-888b-71273659.html"
NIVEA MEN Black & White Invisible Original Anti-Perspirant Roll-on For Men 72h - 50ml (Pack Of 3),4695,6125,23%,NIVEA,4.2,705,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/9523401/1.jpg?2968","https://www.jumia.com.ng/nivea-men-black-white-invisible-original-anti-perspirant-roll-on-for-men-72h-50ml-pack-of-3-104325951.html"
NIVEA Dry Comfort Roll-on For Women 72h- 50ml (Pack Of 3),4985,6125,19%,NIVEA,4,2746,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/9523401/1.jpg?5543","https://www.jumia.com.ng/dry-comfort-roll-on-for-women-48h-50ml-pack-of-3-nivea-mpg1657646.html"
Roushun Vitamin C Serum [Anti-Aging Serum]---30ml,2399,5000,52%,Roushun,3.7,3346,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/2927732/1.jpg?9345","https://www.jumia.com.ng/roushun-vitamin-c-serum-anti-aging-serum-30ml-237729207.html"
Kiki New Gain Professional Rechargeable Wireless Hair Clipper With Battery Percentage Display (NG-888B),16180,16200,1%,Kiki New Gain,4.1,9318,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/233407/1.jpg?4710","https://www.jumia.com.ng/led-display-cordless-rechargeable-clipper-ng-888b-kiki-new-gain-mpg2195387.html"
NIVEA MEN Deep Body Lotion  - 400ml (Pack Of 2),8355,9695,14%,NIVEA,4.1,2536,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/3790711/1.jpg?3977","https://www.jumia.com.ng/nivea-men-deep-body-lotion-400ml-pack-of-2-117097334.html"
NIVEA Radiant & Beauty Advanced Care Body Lotion For Women - 400ml - Pack Of 2,9470,11635,19%,NIVEA,4.1,1815,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/1433401/1.jpg?8333","https://www.jumia.com.ng/nivea-radiant-beauty-advanced-care-body-lotion-for-women-400ml-pack-of-2-104334102.html"
Cotton Club AUD DE PERFUME,2549,2999,15%,N/A,4,344,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/5593023/1.jpg?4954","https://www.jumia.com.ng/cotton-club-aud-de-perfume-320395569.html"
NIVEA Dry Impact Roll-on For Men 72h- 50ml (Pack Of 2),3520,4085,14%,NIVEA,4.1,3123,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/1713401/1.jpg?4262","https://www.jumia.com.ng/dry-impact-roll-on-for-men-48h-50ml-pack-of-2-nivea-mpg1657708.html"
