Name,Current Price,Original Price,Discount,Brand,Rating,Review Count,Image URL,Product URL
Men's Long Sleeve Plaid Shirt- Blue,7520,9584,22%,N/A,3.3,236,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/1661172/1.jpg?3568","https://www.jumia.com.ng/fashion-mens-long-sleeve-plaid-shirt-blue-271166170.html"
ALagzi 2024 Men Casual Noble Running Sneakers - Black/Gold,7370 -  11280,13568 -  20768,46%,N/A,3.9,1923,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/536976/1.jpg?3153","https://www.jumia.com.ng/alagzi-2024-men-casual-noble-running-sneakers-blackgold-67963547.html"
TOUPHY TOUPHY Fashion Short Sleeve T-Shirts For Men,4465,9312,52%,N/A,3.4,51,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/2428883/1.jpg?6315","https://www.jumia.com.ng/touphy-touphy-fashion-short-sleeve-t-shirts-for-men-388824240.html"
Lauber WM - Blue & White,13980,18890,26%,N/A,4.2,481,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/1151371/1.jpg?8344","https://www.jumia.com.ng/fashion-lauber-wm-blue-white-173151103.html"
ASHION 2024 Men's Casual Shoes Big Size 39-48 - Black,11185 -  11190,21112 -  21120,47%,N/A,4.4,205,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/8831673/1.jpg?6772","https://www.jumia.com.ng/ashion-2024-mens-casual-shoes-big-size-39-48-black-376138821.html"
Men's 2-in-1 Short Sleeved T-shirt&Shorts Set - Black,8270 -  8800,15616,47%,N/A,3.2,315,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/3146082/1.jpg?8471","https://www.jumia.com.ng/fashion-mens-2-in-1-short-sleeved-t-shirtshorts-set-black-280641330.html"
Lauber WM - Black And White Shoes,13980,18890,26%,N/A,4.1,1333,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/6551371/1.jpg?3742","https://www.jumia.com.ng/fashion-lauber-wm-black-and-white-shoes-173155660.html"
Curren Men Leather Wrist Watch With 3 Layer Bracelet- Brown,7499,N/A,N/A,Curren,3.8,138,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/5187563/1.jpg?7024","https://www.jumia.com.ng/curren-men-leather-wrist-watch-with-3-layer-bracelet-brown-365781532.html"
Mens Sneakers Non Slip Lightweight Breathable Running Shoes,5024,7850,36%,N/A,3.6,184,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/3104553/1.jpg?3115","https://www.jumia.com.ng/fashion-mens-sneakers-non-slip-lightweight-breathable-running-shoes-355401368.html"
Women Canvas Shoulder Shopping Tote Bag Ladies Handbag,5700,9000,37%,Fashion,3.5,379,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/9916782/1.jpg?5604","https://www.jumia.com.ng/fashion-women-canvas-shoulder-shopping-tote-bag-ladies-handbag-287619923.html"
ALagzi 2024 Men's Fashion Casual Sports Long Sleeve Suit - White,9195 -  9780,19560,53%,N/A,3.4,224,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/3012041/1.jpg?6275","https://www.jumia.com.ng/alagzi-2024-mens-fashion-casual-sports-long-sleeve-suit-white-140210397.html"
Buckle Palm Slippers Black,6500,8000,19%,N/A,3.5,97,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/5703404/1.jpg?3991","https://www.jumia.com.ng/fashion-buckle-palm-slippers-black-404307575.html"
ALagzi New Young Fashion Trendy Board Shoes - Blue,13535 -  16545,36576,63%,N/A,4.1,631,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/8545362/1.jpg?1476","https://www.jumia.com.ng/alagzi-new-young-fashion-trendy-board-shoes-blue-263545815.html"
